Time [s],Velocidade[m/s],Temperatura Externa [Â°C],Altitude [m]
709.018,-0.025544038905535322,25.3,419.13
729.38,0.0044221698113195065,25.1,419.13
749.737,0.0044221698113195065,25.1,418.61
770.089,0.021127106569056545,25.1,418.7
790.442,-0.021125030704986805,25.1,419.13
810.797,0.10318396226415219,25.2,418.7
831.149,-0.048121777559539294,25.2,420.8
851.514,0.00884303610906444,25.2,419.82
871.869,-0.012775157232703971,25.2,420.0
892.221,-0.001621200311769234,25.3,419.74
1052.596,0.012772019452767661,25.3,419.48
1072.953,0.02554780387147395,25.3,419.74
1093.307,-0.017196482091090492,25.2,420.26
1113.66,0.004419129922418494,25.2,419.91
1134.026,-0.025550314465408085,25.2,420.0
1154.378,0.04225421313811006,25.1,419.48
1174.731,0.06386637189879686,25.0,420.34
1195.086,0.008840864440078963,25.0,421.64
1215.446,0.008351756325227992,25.1,421.82
1235.801,0.017193103109493853,25.1,421.99
1256.158,-0.00442021511713445,25.1,422.34
1276.519,0.017197327044026198,25.2,422.25
1296.871,-0.0044219525377110274,25.1,422.6
1317.224,-0.01719394773039723,25.1,422.51
1337.58,0.008844339622639013,25.2,422.16
1357.932,0.0009746272050943955,25.2,422.34
1450.275,-0.013265857613127497,25.2,422.43
1470.628,0.00442173528544634,25.2,422.16
1490.982,0.027023043286002534,25.2,422.25
1511.335,0.02406561563773941,25.2,422.8
1531.696,0.021619496855345706,25.1,423.29
1552.048,-0.021618434628801468,26.3,423.73
1572.401,0.021602513747054155,27.3,423.29
1592.769,0.0,26.5,423.73
1613.123,-0.00884303610906444,26.8,423.73
1633.478,-0.008349295221257156,26.5,423.55
1653.839,0.07665094339622619,26.39,423.38
1674.191,-0.038316058358302985,25.89,424.94
1694.548,0.004421518054530824,25.89,424.16
1714.903,0.029479683584730545,26.0,424.25
1735.256,-0.02111984282907706,26.3,424.85
1755.616,0.0,26.3,424.42
1775.974,0.05109811821352922,26.2,424.42
1796.327,-0.00442130084495849,26.3,425.46
1816.683,-0.012773274379758814,26.3,425.37
1837.038,0.017191414116605297,26.3,425.11
1857.397,0.004421735285449133,26.39,425.46
1877.751,-0.017182974127351574,26.39,425.55
1898.12,0.07366663392594018,26.39,425.2
1918.482,-0.11202830188679062,26.5,426.7
1938.834,0.03831982313927645,26.5,424.42
1959.189,0.029968066814051245,26.5,425.2
1979.544,-0.05441965326906616,26.6,425.81
1992.407,0.008838693837466572,26.6,425.11
2012.772,-0.02997101164447559,26.39,425.29
2033.125,-0.004420649344271927,26.3,424.68
2053.484,0.017197327044026392,26.0,424.59
2073.836,0.042745541197857895,25.8,424.94
2094.189,-0.029968066814051245,25.7,425.81
2114.544,0.012772646885438596,25.6,425.2
2134.9,-0.012769510338391655,25.5,425.46
2155.261,-0.029956293277022972,25.39,425.2
2175.624,0.034870585924071745,25.3,424.59
2195.985,-0.009331565247286424,25.2,425.3
2216.346,0.04273294366128041,25.1,425.11
2236.705,0.0,25.1,425.98
2257.058,0.033903301886792574,25.39,425.98
2277.41,-0.012277169375828538,26.0,426.67
2297.773,0.06387264776691433,26.39,426.42
2318.126,-0.02161949685534874,27.2,427.72
2338.478,-0.008348065213119172,27.7,427.28
2358.842,-0.02997101164447559,27.8,427.11
2379.195,0.051100628930818966,28.1,426.5
2399.547,0.00883869383746667,28.2,427.54
2419.912,0.029473891044847805,28.3,427.72
2440.269,0.16211436431518841,28.2,428.32
2460.625,0.5245837221867502,28.8,431.62
2480.984,-0.08941731355016061,28.89,442.3
2501.338,1.5937331172339366,29.0,440.48
2521.699,5.995970911949728,28.0,472.93
2542.051,6.284689817771031,25.7,594.96
2562.41,5.42859949894386,24.3,722.91
2582.767,4.105738993710631,23.2,833.42
2603.119,4.391549987718001,22.0,916.98
2623.474,10.335412267347722,21.1,1006.37
2643.837,5.413227201257902,19.2,1216.83
2664.189,4.849214145383074,18.6,1327.0
2684.549,10.941413347738635,18.2,1425.73
2704.912,11.4360813599291,16.39,1648.53
2725.266,5.029234019554847,14.5,1881.3
2745.619,2.606550132573896,13.8,1983.66
2786.351,5.246843837500619,12.9,2089.83
2806.708,5.061140303491666,11.9,2196.64
2827.071,5.329926792119082,11.19,2299.7
2847.424,4.770092356062061,10.19,2408.18
2867.78,10.470154753131894,10.69,2505.28
2888.135,5.032673315973163,9.6,2718.4
2908.488,5.323839921433774,9.0,2820.83
2928.853,5.103895465933106,9.5,2929.25
2949.21,5.2881355932203284,9.5,3033.15
2969.565,11.23907278263427,9.69,3140.79
2989.927,5.558394339900739,10.6,3369.64
3010.28,5.032178825841304,10.1,3482.77
3030.635,5.380573561186527,9.69,3585.2
3050.999,5.288829944002316,9.19,3694.77
3071.357,5.416318711008494,8.8,3802.44
3091.714,5.056731666584835,8.0,3912.7
3112.073,11.669450722216608,7.59,4015.65
3132.427,5.271709783515892,6.0,4253.17
3152.798,5.780889216408698,5.2,4360.56
3173.153,5.223073899370997,4.3,4478.23
3193.505,5.226826394344087,3.7,4584.53
3213.873,16.816015720953065,2.7,4690.99
3234.228,5.533117138364846,-0.2,5033.28
3254.58,5.387636863553716,-0.9,5145.89
3274.947,5.782439935144702,-1.3,5255.62
3295.3,5.403467413191896,-1.9,5373.31
3315.661,5.567663083492859,-3.2,5483.33
3336.034,5.986347787654111,-4.2,5596.76
3356.397,5.927399548089156,-5.9,5718.66
3376.755,8.084535133476516,-5.9,5839.33
3389.791,5.308308357490396,-6.9,5944.72
3410.144,21.21935642348316,-6.7,6052.76
3430.499,5.531768633997836,-9.6,6484.68
3450.865,5.375620301675404,-10.3,6597.34
3471.218,5.62585969738648,-10.1,6706.75
3491.574,5.422030067799974,-10.4,6821.27
3511.928,5.755908219918403,-10.6,6931.63
3532.281,6.283959715057713,-10.8,7048.78
3552.636,6.069568635157762,-11.8,7176.69
3572.99,5.220808567077587,-12.69,7300.23
3593.347,5.79955784819455,-12.5,7406.51
3613.702,5.521288611697703,-13.69,7524.56
3634.065,6.199882075471755,-14.9,7636.99
3654.417,5.405431953243955,-15.69,7763.17
3674.778,12.563863234427059,-16.6,7873.23
3695.134,5.9900746855346245,-19.0,8128.98
3715.486,5.485882641787374,-19.6,8250.89
3735.851,5.359827086505817,-20.2,8362.61
3756.208,5.5825147347740245,-21.3,8471.72
3776.568,5.11025981042197,-22.5,8585.38
3796.929,12.077622205846225,-22.39,8689.43
3817.284,4.642067508475373,-25.1,8935.27
3837.637,4.541034330337395,-24.8,9029.75
3857.998,5.620240727094147,-25.5,9122.21
3878.353,5.934076730362992,-27.2,9236.61
3898.71,5.613578306150607,-28.2,9357.41
3919.066,12.218837517810627,-28.9,9471.68
3939.419,5.22663654667765,-29.3,9720.37
3959.782,5.118415880503183,-31.2,9826.8
3980.134,4.927308447937176,-31.7,9930.97
4000.494,4.594568046756045,-32.4,10031.29
4020.855,9.179522452589262,-32.6,10124.84
4041.209,5.591746499631521,-32.9,10311.68
4061.564,6.3578337506750415,-34.29,10425.5
4081.931,4.59369165765947,-35.9,10554.99
4102.285,4.101783170408219,-35.0,10648.49
4122.642,4.065340211250213,-35.2,10731.99
4142.997,5.538741217510893,-35.6,10814.74
4163.35,8.633259641366012,-36.7,10927.47
4183.705,3.389988701675026,-36.79,11103.2
4204.062,4.234756546946407,-36.79,11172.21
4224.415,4.444662673082613,-37.29,11258.4
4244.781,3.645162875251819,-38.2,11348.92
4265.134,3.856546303119709,-37.79,11423.11
4285.489,10.009823182710877,-38.4,11501.61
4305.849,3.9696493468224934,-39.5,11705.41
4326.211,6.733480717268604,-39.79,11786.24
4346.566,4.274835413186551,-40.0,11923.3
4366.92,4.593997150857227,-40.0,12010.31
4387.277,3.862888572410684,-40.0,12103.83
4407.64,4.180585576734198,-40.0,12182.49
4427.996,4.130189142716851,-40.0,12267.59
4448.351,3.7608055009821966,-40.0,12351.66
4468.711,4.28480235698508,-40.0,12428.23
4489.076,3.9640436192160347,-40.0,12515.49
4509.434,4.3331532151102445,-40.0,12596.19
4529.791,9.158929010071446,-40.0,12684.4
4550.146,4.498820754716987,-40.0,12870.83
4570.498,4.083877621175597,-40.0,12962.39
4590.861,4.672002356869367,-40.0,13045.55
4611.227,5.580172921988674,-40.0,13140.7
4631.583,4.10276563344298,-40.0,13254.29
4651.94,5.157455170719673,-40.0,13337.81
4672.295,4.076749213836473,-40.0,13442.79
4692.647,4.082584573083855,-40.0,13525.76
4713.014,4.141200746781948,-40.0,13608.91
4733.368,4.272378893583662,-40.0,13693.2
4753.722,3.928974900535306,-40.0,13780.16
4774.081,4.178334561532936,-40.0,13860.15
4794.436,4.052660018666804,-40.0,13945.2
4814.793,8.448580689519604,-40.0,14027.7
4835.155,3.977300643639781,-40.0,14199.73
4855.508,3.82753032460833,-40.0,14280.68
4875.871,4.088386938374628,-40.0,14358.62
4896.236,5.07148823269301,-40.0,14441.88
4916.589,4.89567479994113,-40.0,14545.1
4936.958,4.376965408804862,-40.0,14644.82
4957.31,4.1365757799067815,-40.0,14733.9
4977.665,3.968168197671511,-40.0,14818.1
4998.022,4.020243710691926,-40.0,14898.88
5018.374,4.014526894385476,-40.0,14980.7
5038.75,4.4806757354023725,-40.0,15062.5
5059.113,9.171088836478031,-40.0,15153.74
5079.465,4.564427420939042,-40.0,15340.39
5099.829,4.220584622942661,-40.0,15433.34
5120.184,4.353166609345063,-40.0,15519.25
5140.537,4.024653766820479,-40.0,15607.85
5160.899,8.845605934076818,-40.0,15689.8
5181.256,4.205276863361571,-40.0,15869.87
5201.609,4.339502233567571,-40.0,15955.46
5221.98,4.0927627376799,-40.0,16043.86
5242.333,3.946450503561683,-40.0,16127.16
5262.688,3.9936149312377602,-40.0,16207.49
5283.048,4.16113976909844,-40.0,16288.8
5303.403,8.634510535881205,-40.0,16373.5
5323.762,4.297285356634454,-40.0,16549.29
5344.133,3.8991794821400623,-40.0,16636.83
5364.486,4.226555975831459,-40.0,16716.19
5384.843,3.7180054040775503,-40.0,16802.23
5405.198,4.175181764590419,-40.0,16877.91
5425.554,3.4893658824106826,-40.0,16962.9
5445.913,7.787654078475644,-40.0,17033.94
5466.276,4.086666011594732,-40.0,17192.52
5486.63,4.071709233791707,-40.0,17275.7
5506.99,3.9895838451334185,-40.0,17358.6
5527.343,3.9693606992045667,-40.0,17439.8
5547.709,8.669384547374465,-40.0,17520.64
5568.068,4.030364074092201,-40.0,17697.14
5588.421,4.378009236513874,-40.0,17779.17
5608.775,3.69542798212439,-40.0,17868.28
5629.138,4.229938120027535,-40.0,17943.53
5649.5,3.7555249975444878,-40.0,18029.66
5669.862,3.9199213952345344,-40.0,18106.13
5690.217,7.877954109959202,-40.0,18185.92
5710.57,4.075929473012234,-40.0,18346.26
5730.931,3.3177822521239686,-40.0,18429.25
5751.294,3.7268484401864495,-40.0,18496.81
5771.649,3.939215397456967,-40.0,18572.67
5792.016,8.171234895372685,-40.0,18652.9
5812.374,3.8461160516876425,-40.0,18819.25
5832.727,4.293011148764815,-39.9,18897.53
5853.088,3.4193199685534896,-39.1,18984.94
5873.44,4.575680188586658,-39.2,19054.53
5893.802,3.023130187103905,-38.79,19147.7
5914.165,4.20129678750377,-37.9,19209.26
5934.523,4.499680699513616,-37.5,19294.79
5954.88,3.9472520996021547,-37.6,19386.39
5975.241,3.761116297351873,-37.5,19466.76
5995.594,3.267710736904055,-37.2,19543.31
6015.963,7.155837139629764,-36.79,19609.87
6036.324,3.0875055274406695,-36.29,19755.57
6056.677,3.376865671641669,-35.5,19818.41
6077.045,3.21133818038924,-35.1,19887.19
6097.401,3.406868766275238,-34.4,19952.56
6117.754,7.640443920644098,-33.9,20021.9
6138.118,0.03128490859389005,-32.79,20177.49
8194.381,3.4182996905847385,-32.4,20241.82
8214.742,2.898600540142554,-32.1,20311.42
8235.107,3.6116705142687495,-32.0,20370.45
8255.466,3.657746133071564,-31.8,20443.98
8275.831,3.4338325558556857,-31.3,20518.47
8296.196,3.2064443243773084,-31.1,20588.4
8316.555,7.411227346397972,-30.89,20653.68
8336.916,2.924157579329911,-30.3,20804.58
8357.274,3.2036736898972076,-29.8,20864.11
8377.635,2.9904752553023703,-29.39,20929.34
8398.003,3.744168917260045,-29.5,20990.25
8418.368,6.734944493565154,-29.3,21066.5
8438.726,2.8819717203458777,-28.6,21203.61
8459.094,3.6465851622722907,-28.39,21262.31
8479.461,3.2927308447934833,-27.89,21336.58
8499.821,3.1969749054660013,-27.89,21403.62
8520.184,2.5439457920061725,-27.7,21468.72
8540.55,3.407483794931971,-27.2,21520.53
8560.914,6.231528302813486,-26.8,21589.92
8581.283,3.17387033398825,-26.0,21716.85
8601.643,2.919163147038656,-25.6,21781.47
8622.005,2.961052993467833,-25.5,21840.91
8642.366,2.7520502872858907,-25.0,21901.2
8662.729,6.379259550230696,-24.6,21957.24
8683.095,3.3285854616895136,-24.2,22087.16
8703.455,2.8994547865807623,-23.7,22154.93
8723.814,-12.748822143698362,-23.39,22213.96
8744.19,-16.276522593321197,-22.8,21954.19
8764.55,-16.635913039210443,-22.89,21622.8
8784.927,-25.737189321877917,-22.7,21283.81
8797.963,-34.571175950485966,-22.8,20948.3
8818.321,-15.740877167132638,-24.0,20244.5
8838.682,-15.128142183818863,-24.5,19924.0
8859.05,-15.258607986639424,-24.89,19615.87
8879.409,-15.598231827111624,-25.5,19305.22
8899.769,-28.778045068485596,-26.89,18987.64
8920.138,-14.046660117878945,-28.39,18401.46
8940.498,-15.828585461689157,-29.3,18115.47
8960.858,-13.239581799440678,-30.5,17793.2
8981.231,-13.236420783812363,-31.8,17523.47
9001.593,-12.924648786718747,-33.4,17253.95
9021.951,-12.50012272347899,-34.0,16990.83
9042.322,-13.24542016600306,-35.0,16736.19
9062.683,-24.525318009922202,-36.5,16466.5
9083.044,-12.548480534144586,-38.6,15967.14
9103.413,-11.866005206542427,-39.4,15711.54
9123.772,-11.699317523445668,-40.0,15469.96
9144.139,-12.56397661967661,-40.0,15231.68
9164.498,-11.24380063835021,-40.0,14975.89
9184.863,-11.612744857380928,-40.0,14746.91
9205.232,-11.088355188841007,-40.0,14510.37
9225.593,-10.807505280220846,-40.0,14284.6
9245.952,-11.113456723451929,-40.0,14064.57
9266.321,-10.34577603143395,-40.0,13838.2
9286.681,-10.322501472609726,-40.0,13627.56
9307.053,-10.646397170784223,-40.0,13417.27
9327.412,-10.107072691551807,-40.0,13200.52
9347.772,-10.154087741682812,-40.0,12994.74
9368.15,-10.7161451937716,-40.0,12787.82
9388.509,-9.772682639434183,-40.0,12569.65
9408.877,-9.811978399607796,-40.0,12370.6
9429.247,-9.536905171143129,-40.0,12170.73
9449.61,-9.557552543704825,-40.0,11976.53
9469.974,-9.22967399842872,-40.0,11781.9
9490.342,-10.113452188006999,-40.0,11593.91
9510.703,-9.102784462013933,-40.0,11387.99
9531.066,-4.916862047592073,-40.0,11202.63
9568.173,-8.773015171601052,-39.79,11020.18
9588.54,-8.595982910180537,-39.0,10841.5
9608.903,-17.892823812564078,-38.29,10666.46
9629.262,-8.611916105899716,-36.7,10302.18
9649.621,-8.13801571709213,-35.5,10126.85
9669.981,-8.341765312637987,-34.79,9961.16
9690.34,-8.295197878817667,-33.9,9791.33
9710.706,-8.712273641850876,-32.9,9622.39
9731.083,-7.835249042145537,-31.89,9444.86
9751.441,-8.175523033101264,-30.89,9285.35
9771.803,-8.407227377620561,-30.1,9118.88
9792.17,-8.073975832596403,-29.1,8947.65
9812.528,-7.85367051313539,-27.8,8783.28
9832.893,-7.818208603418005,-27.0,8623.34
9853.257,-7.695254936634174,-25.89,8464.13
9873.615,-16.26982957614983,-24.8,8307.47
9893.976,-7.429833169774584,-22.8,7976.2
9914.356,-7.189802534630053,-21.39,7824.78
9934.714,-7.020273918806438,-20.1,7678.41
9955.085,-7.125319190728221,-18.89,7535.4
9975.449,-7.106090373281389,-17.7,7390.3
9995.809,-6.898109501595312,-16.7,7245.62
10016.174,-6.841019596287365,-15.5,7105.14
10036.535,-14.262568735270738,-14.9,6965.85
10056.903,-6.38176638176633,-13.0,6675.35
10077.261,-6.424045970237553,-12.19,6545.43
10097.622,-6.300407682106099,-11.6,6414.63
10117.981,-6.457934286134998,-11.0,6286.36
10138.342,-13.787514121519706,-9.9,6154.87
10158.701,-6.49511368658805,-7.9,5874.17
10179.064,-6.483446311032451,-7.4,5741.91
10199.422,-6.533077943126918,-6.59,5609.92
10219.783,-6.642443287832655,-5.9,5476.9
10240.149,-6.680420473523864,-5.3,5341.62
10260.507,-11.474299180126339,-4.2,5205.62
10280.876,-6.544088766692724,-2.7,4971.9
10301.244,-6.697117037473925,-2.0,4838.61
10321.605,-6.585329929300743,-1.1,4702.25
10341.973,-6.279697624190267,-0.2,4568.12
10362.345,-6.199223930448337,0.9,4440.19
10382.704,-12.922396856581136,1.9,4313.98
10403.064,-5.858833930939534,3.6,4050.88
10423.423,-5.858342747679573,4.4,3931.6
10443.782,-5.642032899582178,5.59,3812.33
10464.147,-5.798909573162154,6.4,3697.43
10484.506,-12.06923643506028,7.5,3579.37
10504.871,-6.021405076341328,9.0,3333.58
10525.24,-5.614164333775135,9.1,3210.93
10545.601,-5.566088707697221,8.8,3096.62
10565.96,-5.854616895874109,9.1,2983.3
10586.32,-5.580333022250504,9.3,2864.1
10606.679,-5.53951890034341,9.5,2750.49
10627.049,-12.39428318844914,9.8,2637.65
10647.41,-5.990667976424181,10.9,2385.29
10667.77,-6.2772432750836415,11.3,2263.32
10688.142,-6.38524630420878,11.8,2135.44
10708.503,-5.181746733470828,12.4,2005.43
10728.861,-11.698659728018766,13.0,1899.94
10749.23,-6.68958742632594,14.5,1661.65
10769.59,-6.9018163966621096,15.4,1525.45
10789.96,-7.335592554392915,16.39,1384.86
10810.321,-6.9384547374624175,17.5,1235.5
10830.68,-6.423486670921312,18.5,1094.24
10851.049,-5.895584696233292,20.0,963.4
10871.41,-6.0595197171342035,20.8,843.36
10891.773,-4.722453987730063,22.2,719.97
10912.148,-4.613231177250445,23.1,623.75
10932.509,-0.025541529544677335,24.0,529.82
10952.868,-0.02601865488463423,24.3,529.3
10973.238,0.008349705304521999,25.5,528.77
10993.598,0.0,26.6,528.94
11013.971,0.017667844522963112,27.7,528.94
11034.347,0.012770137524557145,28.5,529.3
11054.707,0.0039290801041228325,29.3,529.56
11075.068,0.03438113948919575,30.7,529.64
